from \ to,depot,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
depot,0.0,3.3242,10.7655,9.3196,4.9789,16.1695,9.8439,12.4876,9.0871,10.0225,12.5428
n1,3.6615,0.0,8.1038,6.6579,2.3172,13.5078,7.1822,9.8259,8.2463,7.3608,9.8811
n2,11.2481,8.6515,0.0,4.9462,7.5295,9.3119,1.1267,5.672,10.968,3.0273,4.2031
n3,8.5025,6.1392,4.6111,0.0,5.0172,11.8157,3.6895,5.0021,11.0439,3.5462,6.0664
n4,4.5512,2.4051,6.8104,5.3646,0.0,12.2144,5.8889,8.5325,8.1242,6.0675,8.5877
n5,16.4722,13.9938,9.0091,12.475,12.8718,0.0,8.8224,13.8091,16.192,11.7542,12.3401
n6,9.8476,7.251,1.0765,4.1199,6.129,8.8968,0.0,6.3752,9.5675,3.4118,4.9063
n7,12.165,9.8017,6.7521,4.3672,8.6797,14.3812,6.5654,0.0,13.9064,4.8316,4.3296
n8,8.8221,8.7956,10.5185,12.0157,7.3211,15.7946,9.597,13.8462,0.0,11.648,13.8496
n9,10.6803,7.7387,2.2326,4.0281,6.6167,10.0529,1.8677,4.8138,10.4002,0.0,3.3449
n10,15.1147,11.0229,5.5494,7.3123,9.9009,13.1785,5.3627,3.7062,14.8346,4.957,0.0
