global_route_id,origin,vehicle_type,stop_sequence,sales_order_no,delivery_name,delivery_lat,delivery_lng,weight_kg,volume_cbm
0,Kiat Ananda Balikpapan,Fuso,1,9898103897269667,Big Mall Samarinda,-0.5262742,117.1159382,1259.0,7.004
0,Kiat Ananda Balikpapan,Fuso,2,9898103897269667-R1,Big Mall Samarinda,-0.5262742,117.1159382,602.0,1.074
0,Kiat Ananda Balikpapan,Fuso,3,1693903888602648,Big Mall Samarinda,-0.5262742,117.1159382,18.04,0.048
0,Kiat Ananda Balikpapan,Fuso,4,9969003897270467,Big Mall Samarinda,-0.5262742,117.1159382,7.0,0.02
0,Kiat Ananda Balikpapan,Fuso,5,9129203921399658,Big Mall Samarinda,-0.5262742,117.1159382,0.02,0.02
0,Kiat Ananda Balikpapan,Fuso,6,3864503900653031,Pertamina Karang Asam,-0.5111515999999999,117.1132388,619.4,3.354
0,Kiat Ananda Balikpapan,Fuso,7,3864503900653031-R1,Pertamina Karang Asam,-0.5111515999999999,117.1132388,388.0,0.68
0,Kiat Ananda Balikpapan,Fuso,8,7195703888601219,Pertamina Karang Asam,-0.5111515999999999,117.1132388,18.04,0.048
0,Kiat Ananda Balikpapan,Fuso,9,5198603921399503,Pertamina Karang Asam,-0.5111515999999999,117.1132388,0.02,0.02
0,Kiat Ananda Balikpapan,Fuso,10,5242703900461765,Ruko Bung Tomo Samarinda,-0.5131524,117.1319064,1484.8,8.328
0,Kiat Ananda Balikpapan,Fuso,11,5242703900461765-R1,Ruko Bung Tomo Samarinda,-0.5131524,117.1319064,982.0,1.732
0,Kiat Ananda Balikpapan,Fuso,12,6402403888602556,Ruko Bung Tomo Samarinda,-0.5131524,117.1319064,18.04,0.048
0,Kiat Ananda Balikpapan,Fuso,13,7593503900664569,Ruko Bung Tomo Samarinda,-0.5131524,117.1319064,8.0,0.02
0,Kiat Ananda Balikpapan,Fuso,14,7593503900664569-R1,Ruko Bung Tomo Samarinda,-0.5131524,117.1319064,0.02,0.02
1,Kiat Ananda Balikpapan,CDD,1,4279903900784886,Ruko Ahmad Muksin Tenggarong,-0.4183967,116.9858712,854.76,4.618
1,Kiat Ananda Balikpapan,CDD,2,4279903900784886-R1,Ruko Ahmad Muksin Tenggarong,-0.4183967,116.9858712,631.0,1.296
1,Kiat Ananda Balikpapan,CDD,3,9696903900852964-R1,Ruko Ahmad Muksin Tenggarong,-0.4183967,116.9858712,163.2,0.294
1,Kiat Ananda Balikpapan,CDD,4,9696903900852964,Ruko Ahmad Muksin Tenggarong,-0.4183967,116.9858712,137.2,0.25
1,Kiat Ananda Balikpapan,CDD,5,1892903888601865,Ruko Ahmad Muksin Tenggarong,-0.4183967,116.9858712,18.04,0.048
2,Kiat Ananda Balikpapan,Tronton,1,4338903900087337,RS Samarinda Medika Citra,-0.4725965,117.124517,1836.92,10.168
2,Kiat Ananda Balikpapan,Tronton,2,9460703900730752,RS Samarinda Medika Citra,-0.4725965,117.124517,760.8,4.7
2,Kiat Ananda Balikpapan,Tronton,3,4338903900087337-R1,RS Samarinda Medika Citra,-0.4725965,117.124517,418.0,0.946
2,Kiat Ananda Balikpapan,Tronton,4,9460703900730752-R1,RS Samarinda Medika Citra,-0.4725965,117.124517,210.0,0.382
2,Kiat Ananda Balikpapan,Tronton,5,8181403913167414,RS Samarinda Medika Citra,-0.4725965,117.124517,30.6,0.062
2,Kiat Ananda Balikpapan,Tronton,6,1226303888601286,RS Samarinda Medika Citra,-0.4725965,117.124517,18.04,0.048
2,Kiat Ananda Balikpapan,Tronton,7,6620803921399613,RS Samarinda Medika Citra,-0.4725965,117.124517,0.02,0.02
2,Kiat Ananda Balikpapan,Tronton,8,8793803900815280,RS Abdul Wahab Sjahranie Smrnd,-0.4788472,117.1458103,496.04,3.076
