route_id,origin,vehicle_type,num_stops,total_weight_kg,max_weight_kg,total_volume_cbm,max_volume_cbm,weight_utilization_pct,volume_utilization_pct,distance_km,stop_sequence
0,Kiat Ananda Balikpapan,Fuso,14,5404.38,8000,22.416,25.0,67.55,89.66,170.276,9898103897269667 → 9898103897269667-R1 → 1693903888602648 → 9969003897270467 → 9129203921399658 → 3864503900653031 → 3864503900653031-R1 → 7195703888601219 → 5198603921399503 → 5242703900461765 → 5242703900461765-R1 → 6402403888602556 → 7593503900664569 → 7593503900664569-R1
1,Kiat Ananda Balikpapan,CDD,5,1804.2,4000,6.506,12.0,45.11,54.22,180.639,4279903900784886 → 4279903900784886-R1 → 9696903900852964-R1 → 9696903900852964 → 1892903888601865
2,Kiat Ananda Balikpapan,Tronton,14,6619.76,15000,29.862,30.0,44.13,99.54,182.108,4338903900087337 → 9460703900730752 → 4338903900087337-R1 → 9460703900730752-R1 → 8181403913167414 → 1226303888601286 → 6620803921399613 → 8793803900815280 → 8793803900815280-R1 → 9145003888601965 → 8457903900743443 → 8457903900743443-R1 → 8541903888602195 → 6933303921397284
3,Kiat Ananda Balikpapan,CDE,5,1442.26,2000,5.748,6.0,72.11,95.8,175.506,3258203895292582 → 3258203895292582-R1 → 8617903912368247 → 4655103888600382 → 2959203921399549
4,Kiat Ananda Batam,CDD Long,18,1475.3,6000,12.5431,20.0,24.59,62.72,11.492,TO-4823803900680023 → TO-4660303911356879 → TO-1466703911370573 → TO-5146803907419140 → TO-4166303921398260 → TO-5863803901156873 → TO-7646003901538850 → TO-7173203911275970 → TO-2443503907419106 → TO-6226203921397346 → TO-8674203924642598 → TO-2339003899705038 → TO-6989103899726315 → TO-4481803899706248 → TO-4905003899728579 → TO-8855703907419138 → TO-5217103919527471 → TO-8772703921398951
5,Kiat Ananda Batam,Fuso,31,2015.6,8000,20.9179,25.0,25.19,83.67,28.438,TO-7153303902253171 → TO-9908403902315907 → TO-7747403902347458 → TO-5515803902325810 → TO-2659203907419099 → TO-4692403902348505 → TO-3953803921398645 → TO-3032603901144035 → TO-4439803902302930 → TO-9385903902329288 → TO-5332103901146125 → TO-8767003902330957 → TO-2545903907419128 → TO-2785703921399693 → TO-1826803902221524 → TO-9162203902241279 → TO-8680203902312098 → TO-6862203907419106 → TO-4207603921399423 → TO-7980903901900955 → TO-8447703907419099 → TO-2203903900923647 → TO-6827903923592748 → TO-6724203900929431 → TO-3806303909891333 → TO-1386903907419142 → TO-7990303921399376 → TO-9420103900579692 → TO-1413803900586848 → TO-9938203907419146 → TO-3707303921397854
6,Kiat Ananda Batam,CDE,8,330.1,2000,2.7557,6.0,16.5,45.93,13.09,TO-4615003919661168 → TO-3720503921399288 → TO-9663603901500433 → TO-8498603901504934 → TO-5793803902136487 → TO-6222203924668401 → TO-7410703907419114 → TO-3768703921398176
7,Kiat Ananda Jakarta,Tronton,6,7951.38,15000,29.9944,30.0,53.01,99.98,62.222,3101103891824537 → 7901003899413459A → 2522503887026074 → 5920903895777472 → 8471103895916805 → 9503895185346-R1
8,Kiat Ananda Jakarta,Tronton,9,7152.3,15000,29.9891,30.0,47.68,99.96,60.786,6397603896983204 → 9847903893466080 → 8383903896673927 → 8400503895306429 → 9704803898663727 → 8401603897271702 → 7896403895463321 → 3625103901086653 → 2292303895194511
9,Kiat Ananda Jakarta,Tronton,51,6235.63,15000,27.9783,30.0,41.57,93.26,63.283,7441803898848789 → 4671103900729038 → 7441803898848789-R1 → 9339703912699378 → 8598203917939984 → 8937203888602065 → 6958103895244228 → 5778303904314365 → 9129703891826942 → 7729603912697658 → 6288503891825380 → 6958103895244228-R1 → 9716903917939616 → 3348703897043000 → 6704503897064258 → 8250003912699133 → 1449603900632074 → 3348703897043000-R1 → 1993403917939384 → 9904703888602018 → 9612203899414201 → 7901003899413459B → 6211303900272358 → 3352003897090265 → 2431103893522362 → 3062003888601903 → 5312403893530622 → 9847903893466080-R1 → 9704803898663727-R1 → 4126403898879007 → 3352003897090265-R1 → 7050203900411216 → 3438903912768352 → 6397603896983204-R1 → 1407103912699325 → 6490203917939558 → 1864803917954582 → 6136903888602309 → 6857703917922965 → 2522503887026074-R1 → 2503887026074-R1 → 9737703903008727 → 7452303903009401 → 4886603909150740 → 6351903912699405 → 9006803910669667 → 3139503895185346 → 3662403900515906 → 7745903912699094 → 3139503895185346-R1 → 7043403900357082
10,Kiat Ananda Jakarta,CDE,7,380.43,2000,2.4533,6.0,19.02,40.89,23764.67,6042003907664207 → TR-B410-25-12-16 → 6992103897680683 → 3926803888602819 → TR-B410-25-12-16-R1B → 3125703912927529 → TR-B410-25-12-16-R1A
11,Kiat Ananda Jakarta,CDD Long,23,4667.3,6000,18.36,20.0,77.79,91.8,894.536,4965203915133899 → 1729003912697783 → 3903503915134362 → 5722103917940600 → 3544103899075984 → 9541503912697606 → 4511803900667730 → 6920703917938850 → 3246503900880732 → 2047903908963011 → 5130903912698117 → 5879603917940206 → 7922703900704884A → 7970403902317711 → 6283403912697514 → 7922703900704884B → 3978603917938824 → 3524203901371912 → 4395903917573920 → 2818503912698158 → 9099103901372829 → 2557803901372458 → 5221403917939740
12,Kiat Ananda Jakarta,CDD,12,2706.04,4000,11.97,12.0,67.65,99.75,172.246,2516303900261380 → 8549703902118608 → 3815703902780198 → 1049503907558765 → 3571203900262337 → 5535103912903798 → 8275603912699234 → 6790103907563439A → 1447903909230427 → 6790103907563439B → 2516303900261380-R2 → 3782403917940493
13,Kiat Ananda Jakarta,Tronton,24,7634.91,15000,29.9904,30.0,50.9,99.97,36.563,6302503888601991 → 5710103894866511-R1 → 1094003888600893 → 9464003912698510 → 1140903883029545 → 8671203900507335 → 3701603900585530 → 5742303902069162 → 8994403888602544 → 4567703912697556 → 4214503902117705 → TR-B407-25-12-10 → 1128103902131929 → 9545903902130323 → 9436703897560308 → TR-B407-25-12-10-R1A → 6517303888602372 → 2800103912698218 → 5265403898511982 → 3801703898521252 → 9281903912698298 → 3385703898507891-R1 → 2089303888600400 → 9540503912697692
14,Kiat Ananda Jakarta,CDD Long,21,3563.66,6000,15.7413,20.0,59.39,78.71,36.563,5710103894866511 → 1007103917939468 → 8456003898921289 → 4331503917938996 → 7485803917939098 → 2923903876505485A → 4806803902126662 → 2805903902118491 → 7837803902130570 → 9247803902127599 → 4214503902117705-R1 → 8395903902148809B → 2923903876505485A-R1 → TR-B407-25-12-10-R1B → 2923903876505485B → 5575903893662292B → 3662903917940304 → 3385703898507891 → 8917403898508138 → 3007803917938900 → 1418803917940550
15,Kiat Ananda Jakarta,Tronton,14,8181.24,15000,30.0,30.0,54.54,100.0,818.165,3055103902537985 → 3118003906095839 → 7995503904390684 → 8384003905943355 → 1963203898943059 → 3200303917612722 → 7595703906219048 → 6692003905963172 → 9788703917785687 → 7912203905967905 → 9850103911218264 → 2409803906004620 → 7776403907906683 → 7481303912718497
