source,depot,date,awb_count,k_clusters,vehicles_used,vehicle_breakdown,total_distance_km,total_cost_rp,avg_weight_util_pct,avg_volume_util_pct,runtime_sec,distance_method
COMPANY-1,Depot Balikpapan,2025-12-26,38,5,9,"{'Blind Van': 1, 'Engkel (CDE)': 4, 'Pickup Bak': 2, 'CDD Box': 2}",937.79,1147011,74.0,79.3,3.66,OSRM
COMPANY-1,Depot Batam,2025-12-18,28,2,7,"{'Blind Van': 3, 'Pickup Bak': 3, 'Engkel (CDE)': 1}",21.98,24906,39.2,80.9,2.48,OSRM
COMPANY-1,Depot Batam,2025-12-24,29,1,1,{'CDD Box': 1},67.09,101378,9.0,86.8,0.4,OSRM
COMPANY-1,Depot Makassar,2025-12-19,26,3,7,"{'Blind Van': 1, 'Engkel (CDE)': 4, 'Pickup Bak': 2}",2217.03,1421613,74.7,64.0,2.47,OSRM
COMPANY-1,Depot Makassar,2025-12-23,63,8,16,"{'Blind Van': 3, 'Engkel (CDE)': 6, 'Pickup Bak': 3, 'CDD Box': 4}",233.62,353030,77.4,68.5,5.66,OSRM
COMPANY-1,Depot Manado,2025-12-18,32,1,1,{'CDD Box': 1},892.55,1348745,23.9,96.5,0.41,OSRM
COMPANY-1,Depot Manado,2025-12-24,17,1,1,{'CDD Box': 1},152.01,229711,19.8,68.3,0.39,OSRM
COMPANY-1,Depot Medan,2025-12-23,83,7,23,"{'Blind Van': 8, 'Pickup Bak': 8, 'Engkel (CDE)': 7}",440.83,499613,20.2,88.3,9.9,OSRM
COMPANY-1,Depot Medan,2025-12-24,25,2,2,"{'CDD Box': 1, 'Engkel (CDE)': 1}",168.15,219656,24.2,78.2,1.05,OSRM
COMPANY-1,Depot Pekanbaru,2025-12-08,22,1,1,{'CDD Box': 1},2463.93,3723275,51.7,59.2,0.4,OSRM
COMPANY-1,Depot Pekanbaru,2025-12-11,28,1,1,{'CDD Box': 1},366.61,553987,5.8,63.5,0.4,OSRM
COMPANY-1,Depot Pekanbaru,2025-12-18,44,1,1,{'CDD Box': 1},39.63,59890,31.5,74.1,0.41,OSRM
COMPANY-1,Depot Pekanbaru,2025-12-23,21,1,1,{'Pickup Bak': 1},335.54,190137,50.1,98.2,0.79,OSRM
COMPANY-1,Depot Pekanbaru,2025-12-24,27,1,1,{'Pickup Bak': 1},46.07,26107,63.2,91.7,0.4,OSRM
COMPANY-2,Depot Jatiasih,2025-07-02,28,3,10,"{'Blind Van': 8, 'CDD Box': 2}",250.8,378982,78.3,81.9,3.87,OSRM
