scenario_id,method,status,infeasible_nodes,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,runtime_sec,city,date,is_lindo_representative,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S01_Balikpapan_2025-12-26,heuristic_kmeans_bfd_gnn,INFEASIBLE_OVERSIZED_NODE,['RS Samarinda Medika Citra'],8,0,0.0,0.0,0.0,0.0,0,0.0,0.0,15270.6,64.532,0.0001,Balikpapan,2025-12-26,False,,,,,,,,,,,,,
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,471.5703,253491.53,650000.0,903491.53,1,7.01,86.56,262.0,9.521775,0.1752,Pekanbaru,2025-12-11,False,1.0,1.0,1.0,Blind Van,11.0535,5567.71,150000.0,69.0,1.942095,830.0,2.0,"[1, 7]",Ruko Jl. Riau -> Living World Pekanbaru
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,471.5703,253491.53,650000.0,903491.53,1,7.01,86.56,262.0,9.521775,0.1752,Pekanbaru,2025-12-11,False,2.0,1.0,2.0,Blind Van,184.7451,93056.79,150000.0,79.0,1.97606,830.0,2.0,"[2, 4]",Mall SKA Pekanbaru -> Ruko Desa Harapan Mandau Duri
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,471.5703,253491.53,650000.0,903491.53,1,7.01,86.56,262.0,9.521775,0.1752,Pekanbaru,2025-12-11,False,3.0,1.0,3.0,Blind Van,22.2924,11228.74,150000.0,47.0,1.547413,830.0,2.0,"[5, 8]",Ruko Panam Pekanbaru -> Metropolitan City Pekanbaru
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,471.5703,253491.53,650000.0,903491.53,1,7.01,86.56,262.0,9.521775,0.1752,Pekanbaru,2025-12-11,False,4.0,2.0,1.0,Pickup Bak,253.4793,143638.3,200000.0,67.0,4.056207,1250.0,5.0,"[3, 6]",Ruko Sudirman Dumai -> Ruko Sultan Hasanuddin Dumai
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,52.3283,27991.93,850000.0,877991.93,1,28.43,69.5,1418.49,11.12016,0.0849,Pekanbaru,2025-12-18,False,1.0,1.0,1.0,Blind Van,5.5293,2785.11,150000.0,237.62,1.898104,830.0,2.0,[1],Ruko Gobah Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,52.3283,27991.93,850000.0,877991.93,1,28.43,69.5,1418.49,11.12016,0.0849,Pekanbaru,2025-12-18,False,2.0,1.0,2.0,Blind Van,1.0784,543.18,150000.0,184.59,1.80642,830.0,2.0,[3],Ruko Sudirman Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,52.3283,27991.93,850000.0,877991.93,1,28.43,69.5,1418.49,11.12016,0.0849,Pekanbaru,2025-12-18,False,3.0,1.0,3.0,Blind Van,19.769,9957.71,150000.0,347.37,1.975231,830.0,2.0,"[4, 6]",Ruko Jl. Riau -> Ruko Panam Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,52.3283,27991.93,850000.0,877991.93,1,28.43,69.5,1418.49,11.12016,0.0849,Pekanbaru,2025-12-18,False,4.0,2.0,1.0,Pickup Bak,15.9499,9038.29,200000.0,531.19,4.861824,1250.0,5.0,"[2, 7, 5]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Hang Tuah Ujung -> Mall SKA Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,52.3283,27991.93,850000.0,877991.93,1,28.43,69.5,1418.49,11.12016,0.0849,Pekanbaru,2025-12-18,False,5.0,2.0,2.0,Pickup Bak,10.0017,5667.65,200000.0,117.72,0.578581,1250.0,5.0,[8],Living World Pekanbaru
