scenario_id,method,status,infeasible_nodes,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,runtime_sec,city,date,is_lindo_representative,distance_method,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S01_Balikpapan_2025-12-26,heuristic_kmeans_bfd_gnn,INFEASIBLE_OVERSIZED_NODE,['RS Samarinda Medika Citra'],8,0,0.0,0.0,0.0,0.0,0,0.0,0.0,15270.6,64.532,0.7472,Balikpapan,2025-12-26,False,OSRM,,,,,,,,,,,,,
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,588.619,315989.56,650000.0,965989.56,1,7.01,86.56,262.0,9.521775,0.5053,Pekanbaru,2025-12-11,False,OSRM,1.0,1.0,1.0,Blind Van,17.9507,9041.83,150000.0,69.0,1.942095,830.0,2.0,"[1, 7]",Ruko Jl. Riau -> Living World Pekanbaru
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,588.619,315989.56,650000.0,965989.56,1,7.01,86.56,262.0,9.521775,0.5053,Pekanbaru,2025-12-11,False,OSRM,2.0,1.0,2.0,Blind Van,230.7461,116227.67,150000.0,79.0,1.97606,830.0,2.0,"[2, 4]",Mall SKA Pekanbaru -> Ruko Desa Harapan Mandau Duri
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,588.619,315989.56,650000.0,965989.56,1,7.01,86.56,262.0,9.521775,0.5053,Pekanbaru,2025-12-11,False,OSRM,3.0,1.0,3.0,Blind Van,30.2165,15220.16,150000.0,47.0,1.547413,830.0,2.0,"[5, 8]",Ruko Panam Pekanbaru -> Metropolitan City Pekanbaru
S02_Pekanbaru_2025-12-11,heuristic_kmeans_bfd_gnn,,,8,4,588.619,315989.56,650000.0,965989.56,1,7.01,86.56,262.0,9.521775,0.5053,Pekanbaru,2025-12-11,False,OSRM,4.0,2.0,1.0,Pickup Bak,309.7057,175499.9,200000.0,67.0,4.056207,1250.0,5.0,"[3, 6]",Ruko Sudirman Dumai -> Ruko Sultan Hasanuddin Dumai
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,71.8911,38447.12,850000.0,888447.12,1,28.43,69.5,1418.49,11.12016,0.4286,Pekanbaru,2025-12-18,False,OSRM,1.0,1.0,1.0,Blind Van,7.7847,3921.18,150000.0,237.62,1.898104,830.0,2.0,[1],Ruko Gobah Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,71.8911,38447.12,850000.0,888447.12,1,28.43,69.5,1418.49,11.12016,0.4286,Pekanbaru,2025-12-18,False,OSRM,2.0,1.0,2.0,Blind Van,3.2391,1631.55,150000.0,184.59,1.80642,830.0,2.0,[3],Ruko Sudirman Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,71.8911,38447.12,850000.0,888447.12,1,28.43,69.5,1418.49,11.12016,0.4286,Pekanbaru,2025-12-18,False,OSRM,3.0,1.0,3.0,Blind Van,25.3654,12776.65,150000.0,347.37,1.975231,830.0,2.0,"[4, 6]",Ruko Jl. Riau -> Ruko Panam Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,71.8911,38447.12,850000.0,888447.12,1,28.43,69.5,1418.49,11.12016,0.4286,Pekanbaru,2025-12-18,False,OSRM,4.0,2.0,1.0,Pickup Bak,20.5341,11635.99,200000.0,531.19,4.861824,1250.0,5.0,"[2, 7, 5]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Hang Tuah Ujung -> Mall SKA Pekanbaru
S03_Pekanbaru_2025-12-18,heuristic_kmeans_bfd_gnn,,,8,5,71.8911,38447.12,850000.0,888447.12,1,28.43,69.5,1418.49,11.12016,0.4286,Pekanbaru,2025-12-18,False,OSRM,5.0,2.0,2.0,Pickup Bak,14.9678,8481.75,200000.0,117.72,0.578581,1250.0,5.0,[8],Living World Pekanbaru
S04_Manado_2025-12-24,heuristic_kmeans_bfd_gnn,,,8,5,207.8755,109309.01,850000.0,959309.01,1,17.89,64.07,892.55,10.2514,0.4348,Manado,2025-12-24,True,OSRM,1.0,1.0,1.0,Blind Van,84.1484,42385.86,150000.0,244.61,1.9037,830.0,2.0,"[7, 8, 2]",Ruko Yos Sudarso Paal Dua Manado -> Paniki Manado -> Ruko Wolter Monginsidi Bitung
