scenario_id,method,status,n_nodes,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,best_k_clusters,runtime_sec,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,city,date,is_lindo_representative,distance_method,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names,route_full_node_ids,route_full
S01_Pekanbaru_2025-12-11,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,4,587.8747,464133.88,650000,1114133.88,1,1.1306,7.01,86.56,262.0,9.521775,Pekanbaru,2025-12-11,False,OSRM,1,1,1,Blind Van,17.6623,13083.19,150000,69.0,1.942095,830,2.0,"[1, 7]",Node_01 -> Node_07,"[0, 1, 7, 0]",Depot Pekanbaru -> Node_01 -> Node_07 -> Depot Pekanbaru
S01_Pekanbaru_2025-12-11,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,4,587.8747,464133.88,650000,1114133.88,1,1.1306,7.01,86.56,262.0,9.521775,Pekanbaru,2025-12-11,False,OSRM,2,1,2,Blind Van,230.8813,171023.19,150000,79.0,1.97606,830,2.0,"[2, 4]",Node_02 -> Node_04,"[0, 2, 4, 0]",Depot Pekanbaru -> Node_02 -> Node_04 -> Depot Pekanbaru
S01_Pekanbaru_2025-12-11,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,4,587.8747,464133.88,650000,1114133.88,1,1.1306,7.01,86.56,262.0,9.521775,Pekanbaru,2025-12-11,False,OSRM,3,1,3,Blind Van,29.6829,21987.33,150000,47.0,1.547413,830,2.0,"[5, 8]",Node_05 -> Node_08,"[0, 5, 8, 0]",Depot Pekanbaru -> Node_05 -> Node_08 -> Depot Pekanbaru
S01_Pekanbaru_2025-12-11,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,4,587.8747,464133.88,650000,1114133.88,1,1.1306,7.01,86.56,262.0,9.521775,Pekanbaru,2025-12-11,False,OSRM,4,2,1,Pickup Bak,309.6482,258040.17,200000,67.0,4.056207,1250,5.0,"[3, 6]",Node_03 -> Node_06,"[0, 3, 6, 0]",Depot Pekanbaru -> Node_03 -> Node_06 -> Depot Pekanbaru
S02_Pekanbaru_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,55.3475,43707.46,850000,893707.46,2,0.5151,28.43,69.5,1418.49,11.12016,Pekanbaru,2025-12-18,False,OSRM,1,1,1,Blind Van,7.9075,5857.41,150000,237.62,1.898104,830,2.0,[1],Node_01,"[0, 1, 0]",Depot Pekanbaru -> Node_01 -> Depot Pekanbaru
S02_Pekanbaru_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,55.3475,43707.46,850000,893707.46,2,0.5151,28.43,69.5,1418.49,11.12016,Pekanbaru,2025-12-18,False,OSRM,2,1,2,Blind Van,3.7014,2741.78,150000,184.59,1.80642,830,2.0,[3],Node_03,"[0, 3, 0]",Depot Pekanbaru -> Node_03 -> Depot Pekanbaru
S02_Pekanbaru_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,55.3475,43707.46,850000,893707.46,2,0.5151,28.43,69.5,1418.49,11.12016,Pekanbaru,2025-12-18,False,OSRM,3,1,3,Blind Van,14.478,10724.44,150000,347.11,1.996181,830,2.0,"[4, 7]",Node_04 -> Node_07,"[0, 4, 7, 0]",Depot Pekanbaru -> Node_04 -> Node_07 -> Depot Pekanbaru
S02_Pekanbaru_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,55.3475,43707.46,850000,893707.46,2,0.5151,28.43,69.5,1418.49,11.12016,Pekanbaru,2025-12-18,False,OSRM,4,2,1,Pickup Bak,0.0,0.0,200000,197.34,2.829699,1250,5.0,[2],Node_02,"[0, 2, 0]",Depot Pekanbaru -> Node_02 -> Depot Pekanbaru
S02_Pekanbaru_2025-12-18,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,55.3475,43707.46,850000,893707.46,2,0.5151,28.43,69.5,1418.49,11.12016,Pekanbaru,2025-12-18,False,OSRM,5,2,2,Pickup Bak,29.2606,24383.83,200000,451.83,2.589756,1250,5.0,"[8, 5, 6]",Node_08 -> Node_05 -> Node_06,"[0, 8, 5, 6, 0]",Depot Pekanbaru -> Node_08 -> Node_05 -> Node_06 -> Depot Pekanbaru
S03_Manado_2025-12-24,heuristic_kmeans_per_cluster_bfd_gnn,FEASIBLE,8,5,190.607,153722.95,850000,1003722.95,2,0.4628,17.89,64.07,892.55,10.2514,Manado,2025-12-24,True,OSRM,1,1,1,Blind Van,12.3717,9164.22,150000,82.74,1.2491,830,2.0,[4],Node_04,"[0, 4, 0]",Depot Manado -> Node_04 -> Depot Manado
