source,depot,date,awb_count,status,vehicles_used,vehicle_breakdown,total_distance_km,total_cost_rp,avg_weight_util_pct,avg_volume_util_pct,ortools_objective,runtime_sec,distance_method,time_limit_sec
COMPANY-1,Depot Balikpapan,2025-12-26,38,solved,5.0,"{'Engkel (CDE)': 1, 'CDD Box': 4}",1184.9,1691954.0,75.9,91.8,13179.0,70.36,OSRM,69.0
COMPANY-1,Depot Batam,2025-12-18,28,solved,2.0,{'CDD Box': 2},73.8,111520.0,37.9,77.3,1194.0,64.68,OSRM,64.0
COMPANY-1,Depot Batam,2025-12-24,29,solved,1.0,{'CDD Box': 1},56.7,85680.0,9.0,86.8,778.0,64.43,OSRM,64.0
COMPANY-1,Depot Makassar,2025-12-19,26,solved,3.0,{'CDD Box': 3},4146.8,6266275.0,67.4,62.1,42359.0,63.43,OSRM,63.0
COMPANY-1,Depot Makassar,2025-12-23,63,solved,8.0,{'CDD Box': 8},315.7,477058.0,90.0,86.3,5061.0,81.45,OSRM,81.0
COMPANY-1,Depot Manado,2025-12-18,32,solved,1.0,{'CDD Box': 1},888.6,1342773.0,23.9,96.5,9932.0,66.42,OSRM,66.0
COMPANY-1,Depot Manado,2025-12-24,17,solved,1.0,{'CDD Box': 1},126.8,191609.0,19.8,68.4,2015.0,60.41,OSRM,60.0
COMPANY-1,Depot Medan,2025-12-23,83,solved,7.0,{'CDD Box': 7},3189.9,4820294.0,21.9,99.5,84826.0,91.46,OSRM,91.0
COMPANY-1,Depot Medan,2025-12-24,25,solved,2.0,"{'Engkel (CDE)': 1, 'CDD Box': 1}",143.8,209063.0,20.4,76.6,2260.0,62.41,OSRM,62.0
COMPANY-1,Depot Pekanbaru,2025-12-08,22,solved,1.0,{'CDD Box': 1},2457.3,3713253.0,51.7,59.2,24755.0,61.42,OSRM,61.0
COMPANY-1,Depot Pekanbaru,2025-12-11,28,solved,1.0,{'CDD Box': 1},362.1,547173.0,5.8,63.5,6910.0,64.42,OSRM,64.0
COMPANY-1,Depot Pekanbaru,2025-12-18,44,solved,1.0,{'CDD Box': 1},34.9,52738.0,31.5,74.1,548.0,72.45,OSRM,72.0
COMPANY-1,Depot Pekanbaru,2025-12-23,21,solved,1.0,{'CDD Box': 1},333.8,504409.0,13.9,32.8,5417.0,60.42,OSRM,60.0
COMPANY-1,Depot Pekanbaru,2025-12-24,27,solved,1.0,{'CDD Box': 1},39.7,59991.0,17.6,30.6,596.0,63.42,OSRM,63.0
COMPANY-2,Depot Jatiasih,2025-07-02,28,solved,3.0,{'CDD Box': 3},405.2,612302.0,88.7,71.4,6752.0,64.42,OSRM,64.0
