scenario_id,status,runtime_sec,n_nodes,city,date,is_lindo_representative,method,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,time_limit_used_sec,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S01_Balikpapan_2025-12-26,NO_SOLUTION,0.0345,8,Balikpapan,2025-12-26,False,,,,,,,,,,,,,,,,,,,,,,,,
S02_Pekanbaru_2025-12-11,SOLUTION_FOUND,30.0019,8,Pekanbaru,2025-12-11,False,ilp_ortools,2.0,457.4928,259245.95,400000.0,659245.95,30.0,10.48,95.22,262.0,9.521775,1.0,2.0,2.0,Pickup Bak,262.4581,148726.25,200000.0,90.0,4.828698,1250.0,5.0,"[7, 6, 3]",Living World Pekanbaru -> Ruko Sultan Hasanuddin Dumai -> Ruko Sudirman Dumai
S02_Pekanbaru_2025-12-11,SOLUTION_FOUND,30.0019,8,Pekanbaru,2025-12-11,False,ilp_ortools,2.0,457.4928,259245.95,400000.0,659245.95,30.0,10.48,95.22,262.0,9.521775,2.0,2.0,3.0,Pickup Bak,195.0348,110519.7,200000.0,172.0,4.693077,1250.0,5.0,"[1, 2, 5, 8, 4]",Ruko Jl. Riau -> Mall SKA Pekanbaru -> Ruko Panam Pekanbaru -> Metropolitan City Pekanbaru -> Ruko Desa Harapan Mandau Duri
S03_Pekanbaru_2025-12-18,SOLUTION_FOUND,30.0032,8,Pekanbaru,2025-12-18,False,ilp_ortools,1.0,25.0529,37857.72,500000.0,537857.72,30.0,31.52,74.13,1418.49,11.12016,1.0,4.0,3.0,CDD Box,25.0529,37857.72,500000.0,1418.49,11.12016,4500.0,15.0,"[2, 3, 7, 1, 6, 5, 8, 4]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Sudirman Pekanbaru -> Ruko Hang Tuah Ujung -> Ruko Gobah Pekanbaru -> Ruko Panam Pekanbaru -> Mall SKA Pekanbaru -> Living World Pekanbaru -> Ruko Jl. Riau
S04_Manado_2025-12-24,SOLUTION_FOUND,30.0017,8,Manado,2025-12-24,True,ilp_ortools,2.0,114.5614,90607.93,500000.0,590607.93,30.0,28.98,93.19,892.55,10.2514,1.0,1.0,1.0,Blind Van,62.3038,31382.63,150000.0,244.61,1.9037,830.0,2.0,"[2, 8, 7]",Ruko Wolter Monginsidi Bitung -> Paniki Manado -> Ruko Yos Sudarso Paal Dua Manado
S04_Manado_2025-12-24,SOLUTION_FOUND,30.0017,8,Manado,2025-12-24,True,ilp_ortools,2.0,114.5614,90607.93,500000.0,590607.93,30.0,28.98,93.19,892.55,10.2514,2.0,3.0,1.0,Engkel,52.2576,59225.3,350000.0,647.94,8.3477,2250.0,9.0,"[3, 1, 4, 5, 6]",Airmadidi Minahasa Utara -> Tomohon -> Wolter Monginsidi Manado -> Ruko Bahu Manado -> Ruko Sam Ratulangi Manado
S05_Pekanbaru_2025-12-24,SOLUTION_FOUND,30.0014,9,Pekanbaru,2025-12-24,False,ilp_ortools,1.0,28.5745,16192.21,200000.0,216192.21,30.0,63.21,91.74,790.13,4.587,1.0,2.0,1.0,Pickup Bak,28.5745,16192.21,200000.0,790.13,4.587,1250.0,5.0,"[9, 6, 8, 7, 2, 5, 1, 3, 4]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Sudirman Pekanbaru -> Ruko Hang Tuah Ujung -> Ruko Gobah Pekanbaru -> Ruko Panam Pekanbaru -> Metropolitan City Pekanbaru -> Mall SKA Pekanbaru -> Living World Pekanbaru -> Ruko Jl. Riau
S06_Batam_2025-12-18,SOLUTION_FOUND,30.0017,10,Batam,2025-12-18,False,ilp_ortools,2.0,45.1173,57157.44,850000.0,907157.44,30.0,50.59,96.63,3415.0,23.192056,1.0,3.0,1.0,Engkel,29.1701,33059.49,350000.0,1398.1,8.746356,2250.0,9.0,"[4, 7, 10, 5, 8]",Ruko Greenland Batam Center -> Botania Batam -> Bayfront Mall Batam -> Ruko Tiban Batam -> Panbil Mall Batam
S06_Batam_2025-12-18,SOLUTION_FOUND,30.0017,10,Batam,2025-12-18,False,ilp_ortools,2.0,45.1173,57157.44,850000.0,907157.44,30.0,50.59,96.63,3415.0,23.192056,2.0,4.0,2.0,CDD Box,15.9472,24097.95,500000.0,2016.9,14.4457,4500.0,15.0,"[6, 2, 9, 3, 1]",Batam City Square -> Grand Batam Mall -> Ruko Nagoya Hill Batam -> Ruko Palm Spring Batam -> Megamall Batam
S07_Batam_2025-12-24,SOLUTION_FOUND,30.0013,10,Batam,2025-12-24,False,ilp_ortools,1.0,33.3643,50417.15,500000.0,550417.15,30.0,9.02,86.83,406.0,13.024612,1.0,4.0,3.0,CDD Box,33.3643,50417.15,500000.0,406.0,13.024612,4500.0,15.0,"[8, 5, 3, 1, 2, 6, 4, 7, 9, 10]",Megamall Batam -> Ruko Greenland Batam Center -> Ruko Palm Spring Batam -> Botania Batam -> Ruko Nagoya Hill Batam -> Batam City Square -> Grand Batam Mall -> Ruko Tiban Batam -> Panbil Mall Batam -> K Square Mall Batam
