scenario_id,status,runtime_sec,n_nodes,city,date,is_lindo_representative,method,num_vehicles_used,total_distance_km,total_fuel_cost_rp,total_fixed_cost_rp,total_cost_rp,distance_method,weight_utilisation,volume_utilisation,total_weight_demand,total_volume_demand,route_index,vehicle_type_l,vehicle_unit_k,vehicle_name,route_distance_km,route_fuel_cost_rp,route_fixed_cost_rp,load_weight_kg,load_volume_cbm,capacity_weight,capacity_volume,route_node_ids,route_names
S01_Balikpapan_2025-12-26,NO_SOLUTION,0.7445,8,Balikpapan,2025-12-26,False,,,,,,,,,,,,,,,,,,,,,,,,
S02_Pekanbaru_2025-12-11,SOLUTION_FOUND,60.3583,8,Pekanbaru,2025-12-11,False,ilp_ortools,2.0,566.9311,321260.96,400000.0,721260.96,OSRM,10.48,95.22,262.0,9.521775,1.0,2.0,1.0,Pickup Bak,320.3967,181558.13,200000.0,111.0,4.997567,1250.0,5.0,"[2, 3, 6]",Mall SKA Pekanbaru -> Ruko Sudirman Dumai -> Ruko Sultan Hasanuddin Dumai
S02_Pekanbaru_2025-12-11,SOLUTION_FOUND,60.3583,8,Pekanbaru,2025-12-11,False,ilp_ortools,2.0,566.9311,321260.96,400000.0,721260.96,OSRM,10.48,95.22,262.0,9.521775,2.0,2.0,2.0,Pickup Bak,246.5344,139702.83,200000.0,151.0,4.524208,1250.0,5.0,"[7, 8, 5, 1, 4]",Living World Pekanbaru -> Metropolitan City Pekanbaru -> Ruko Panam Pekanbaru -> Ruko Jl. Riau -> Ruko Desa Harapan Mandau Duri
S03_Pekanbaru_2025-12-18,SOLUTION_FOUND,60.3608,8,Pekanbaru,2025-12-18,False,ilp_ortools,1.0,35.1009,53041.36,500000.0,553041.36,OSRM,31.52,74.13,1418.49,11.12016,1.0,4.0,3.0,CDD Box,35.1009,53041.36,500000.0,1418.49,11.12016,4500.0,15.0,"[2, 3, 7, 1, 8, 5, 6, 4]",Ruko Sudirman Awal Bros Pekanbaru -> Ruko Sudirman Pekanbaru -> Ruko Hang Tuah Ujung -> Ruko Gobah Pekanbaru -> Living World Pekanbaru -> Mall SKA Pekanbaru -> Ruko Panam Pekanbaru -> Ruko Jl. Riau
S04_Manado_2025-12-24,SOLUTION_FOUND,60.6643,8,Manado,2025-12-24,True,ilp_ortools,2.0,164.9842,134337.06,500000.0,634337.06,OSRM,28.98,93.19,892.55,10.2514,1.0,1.0,1.0,Blind Van,83.6127,42116.03,150000.0,244.61,1.9037,830.0,2.0,"[2, 8, 7]",Ruko Wolter Monginsidi Bitung -> Paniki Manado -> Ruko Yos Sudarso Paal Dua Manado
S04_Manado_2025-12-24,SOLUTION_FOUND,60.6643,8,Manado,2025-12-24,True,ilp_ortools,2.0,164.9842,134337.06,500000.0,634337.06,OSRM,28.98,93.19,892.55,10.2514,2.0,3.0,1.0,Engkel,81.3715,92221.03,350000.0,647.94,8.3477,2250.0,9.0,"[3, 1, 6, 4, 5]",Airmadidi Minahasa Utara -> Tomohon -> Ruko Sam Ratulangi Manado -> Wolter Monginsidi Manado -> Ruko Bahu Manado
S05_Pekanbaru_2025-12-24,SOLUTION_FOUND,60.3655,9,Pekanbaru,2025-12-24,False,ilp_ortools,1.0,40.102,22724.47,200000.0,222724.47,OSRM,63.21,91.74,790.13,4.587,1.0,2.0,3.0,Pickup Bak,40.102,22724.47,200000.0,790.13,4.587,1250.0,5.0,"[6, 8, 7, 3, 5, 2, 1, 4, 9]",Ruko Sudirman Pekanbaru -> Ruko Hang Tuah Ujung -> Ruko Gobah Pekanbaru -> Living World Pekanbaru -> Metropolitan City Pekanbaru -> Ruko Panam Pekanbaru -> Mall SKA Pekanbaru -> Ruko Jl. Riau -> Ruko Sudirman Awal Bros Pekanbaru
S06_Batam_2025-12-18,SOLUTION_FOUND,60.3608,10,Batam,2025-12-18,False,ilp_ortools,2.0,74.538,97079.03,850000.0,947079.03,OSRM,50.59,96.63,3415.0,23.192056,1.0,3.0,1.0,Engkel,41.1781,46668.51,350000.0,1252.7,8.971574,2250.0,9.0,"[1, 5, 8]",Megamall Batam -> Ruko Tiban Batam -> Panbil Mall Batam
S06_Batam_2025-12-18,SOLUTION_FOUND,60.3608,10,Batam,2025-12-18,False,ilp_ortools,2.0,74.538,97079.03,850000.0,947079.03,OSRM,50.59,96.63,3415.0,23.192056,2.0,4.0,2.0,CDD Box,33.3599,50410.52,500000.0,2162.3,14.220482,4500.0,15.0,"[4, 6, 2, 9, 10, 7, 3]",Ruko Greenland Batam Center -> Batam City Square -> Grand Batam Mall -> Ruko Nagoya Hill Batam -> Bayfront Mall Batam -> Botania Batam -> Ruko Palm Spring Batam
S07_Batam_2025-12-24,SOLUTION_FOUND,60.3646,10,Batam,2025-12-24,False,ilp_ortools,1.0,57.2101,86450.82,500000.0,586450.82,OSRM,9.02,86.83,406.0,13.024612,1.0,4.0,3.0,CDD Box,57.2101,86450.82,500000.0,406.0,13.024612,4500.0,15.0,"[9, 10, 7, 6, 4, 2, 1, 3, 5, 8]",Panbil Mall Batam -> K Square Mall Batam -> Ruko Tiban Batam -> Batam City Square -> Grand Batam Mall -> Ruko Nagoya Hill Batam -> Botania Batam -> Ruko Palm Spring Batam -> Ruko Greenland Batam Center -> Megamall Batam
